"","x"
"1",0.551071621582016
"2",0.551071621582016
"3",0.551071621582016
"4",0.548892001937149
"5",0.549920284687599
"6",0.549920284687599
"7",0.549920284687599
"8",0.549920284687599
"9",0.549489598066076
"10",0.549590532125058
"11",0.54840882309021
"12",0.54840882309021
"13",0.548322474633274
"14",0.545777714341207
"15",0.543196254375305
"16",0.543196254375305
"17",0.542321201137903
"18",0.543419841758682
"19",0.543737275980038
"20",0.543623077267825
"21",0.544374054585239
"22",0.546643324325967
"23",0.547484606990893
"24",0.547052672789859
"25",0.547305165294028
"26",0.546892251839003
"27",0.547363693551032
"28",0.547139973199533
"29",0.547847104168949
"30",0.54857254663357
"31",0.54869439512244
"32",0.548849576472769
"33",0.55013403155115
"34",0.550918847186614
"35",0.551404348634548
"36",0.550942091294508
"37",0.551967364517562
"38",0.550919027582846
"39",0.552150866668624
"40",0.55194005093208
"41",0.552007399616364
"42",0.55214522162349
"43",0.552808596695962
"44",0.554059507367219
"45",0.554627217569622
"46",0.554610023952595
"47",0.554651514430439
"48",0.556032119689748
"49",0.555883661787638
"50",0.556521313792079
"51",0.557667016929294
"52",0.558269286428605
"53",0.558275689515228
"54",0.558678883874329
"55",0.559240948197863
"56",0.559493380876108
"57",0.559163245508735
"58",0.559971198686065
"59",0.559592748730614
"60",0.559630239901173
"61",0.559581599544208
"62",0.559431504443657
"63",0.559036016633967
"64",0.560195046909143
"65",0.560457183964465
"66",0.560843384049629
"67",0.560913767751445
"68",0.561309212783325
"69",0.561346095237338
"70",0.561233977439451
"71",0.563520798960095
"72",0.563704747505281
"73",0.563704747505281
"74",0.566289737645281
"75",0.566378871364187
"76",0.566395404447958
"77",0.567339720632346
"78",0.568228916112527
"79",0.567887955581206
"80",0.567698355601147
"81",0.568983591536572
"82",0.568983591536572
"83",0.567150926543296
"84",0.567643550013628
"85",0.567746685279708
"86",0.567314432284008
"87",0.56773906896525
"88",0.568783329474129
"89",0.569396613802444
"90",0.571413230500449
"91",0.571593248832013
"92",0.571923911031872
"93",0.572415519814765
"94",0.57267208517351
"95",0.573711351830249
"96",0.574359481895649
"97",0.575602261185821
"98",0.575618067635295
"99",0.575919739861454
"100",0.577220941880613
"101",0.577210044544634
"102",0.577508465057255
"103",0.577999135531994
"104",0.579233467977315
"105",0.580141558311882
"106",0.581015067022119
"107",0.581416749559088
"108",0.583096155144715
"109",0.584040380786095
"110",0.584056743834078
"111",0.583846428985877
"112",0.583959151778235
"113",0.583880145434453
"114",0.584278776474999
"115",0.584604679513421
"116",0.586095080662167
"117",0.584849505695042
"118",0.584629079414144
"119",0.583879853440184
"120",0.583938485805983
"121",0.58385233026957
"122",0.584123067625446
"123",0.583311849563802
"124",0.582439296465404
"125",0.583454605044582
"126",0.583910549344862
"127",0.586835732672461
"128",0.588090171489909
"129",0.590994475868006
"130",0.591933684181182
"131",0.593260336777076
"132",0.595177774637773
"133",0.597187470530958
"134",0.597423299378795
"135",0.598640996980967
"136",0.600252078474092
"137",0.600656506023318
"138",0.602227897608321
"139",0.603721765298218
"140",0.605181250919846
"141",0.607274913438141
"142",0.607812355761983
"143",0.608805149617662
"144",0.611621447146277
"145",0.614072281525512
"146",0.61406432334632
"147",0.614108324488372
"148",0.614193356771883
"149",0.615574007062251
"150",0.617601932940374
"151",0.617137844109224
"152",0.619491615664156
"153",0.619631093623674
"154",0.621912557327167
"155",0.623942336888677
"156",0.624874844064859
"157",0.624532439271692
"158",0.6245722787917
"159",0.62724096693313
"160",0.629156167164823
"161",0.629510860728156
"162",0.629994419108873
"163",0.630599688187043
"164",0.630892641889607
"165",0.63098609829211
"166",0.631304736094848
"167",0.631291788538576
"168",0.631431075089523
"169",0.631737096740761
"170",0.633697793105223
"171",0.635496677922196
"172",0.636796092214847
"173",0.637830739331331
"174",0.63718248609758
"175",0.638346949010241
"176",0.637966071878576
"177",0.637478678591925
"178",0.636985106755874
"179",0.637233228592267
"180",0.637098237243972
"181",0.636965602947211
"182",0.637712503337721
"183",0.63713282208254
"184",0.636535993187229
"185",0.636332760397856
"186",0.638113791509765
"187",0.637802187357225
"188",0.637723026612729
"189",0.638978546052724
"190",0.639145009636979
"191",0.641554836282337
"192",0.640900406794096
"193",0.640059209817496
"194",0.642559958163958
"195",0.643423617142298
"196",0.64429759326798
"197",0.647285643834319
"198",0.64693606522823
"199",0.646051653283354
"200",0.646327750125444
"201",0.647912194720942
"202",0.648789598882886
"203",0.649605968757418
"204",0.650322918449429
"205",0.651045619094808
"206",0.651467136261395
"207",0.652660817087183
"208",0.652436220840451
"209",0.655420449900494
"210",0.655630221634975
"211",0.655760431077559
"212",0.655840709812136
"213",0.657746765543377
"214",0.65784170100714
"215",0.660639368176104
"216",0.659988163483336
"217",0.661657126014858
"218",0.660889560984919
"219",0.662387246977762
"220",0.662370536262718
"221",0.661873674676791
"222",0.661541066251573
"223",0.662062053085813
"224",0.661604869799535
"225",0.661223946206821
"226",0.660872095493296
"227",0.660603492734052
"228",0.661871641229009
"229",0.660632644125941
"230",0.661146815391325
"231",0.660490730779771
"232",0.660067044986145
